# Janus 3D Export - 2025-12-26T15:51:17.627712
"# Particles: 20000 (M+: 10000, M-: 10000)"
index,x,y,z,sign,mass,vx,vy,vz,accel_mag
0,-477.897152,-48.199011,-77.584745,1,7.000000,-27.031505,-71.385389,-8.530549,452.574835
1,-431.278580,-44.907729,-79.834861,1,7.000000,-54.034456,284.548327,-3.323919,1182.407476
2,-462.082407,-12.618151,-73.748171,1,7.000000,-213.315527,42.142429,-12.779215,1107.805755
3,-480.560430,-65.091900,-78.647733,1,7.000000,81.571870,-100.347099,-19.612423,900.979207
4,-461.190390,-60.886856,-79.357889,1,7.000000,57.540753,27.860760,-18.908859,667.256545
5,-437.305765,-75.100205,-79.040951,1,7.000000,139.273824,232.984658,1.650869,1282.683277
6,-478.718751,-25.385196,-77.857880,1,7.000000,-161.282558,-71.167658,0.390463,830.250671
7,-448.023672,-46.493775,-77.142649,1,7.000000,-48.234482,101.862683,-2.016313,741.229603
8,-457.724432,-68.360004,-79.003675,1,7.000000,97.108481,28.114262,-14.227601,919.416034
9,-468.819499,-45.531241,-78.790882,1,7.000000,-38.562932,-18.070279,-28.977702,87.640682
10,-453.302717,12.667957,-81.384292,1,7.000000,-211.700212,97.941684,-16.139061,1383.494572
11,-460.966103,-15.724777,-76.607269,1,7.000000,-262.744058,31.853280,20.711933,1041.996999
12,-460.304867,-15.861002,-78.571557,1,7.000000,-248.422299,67.104591,-10.978184,1035.350890
13,-462.514946,-11.553349,-76.853932,1,7.000000,-209.996189,23.042048,-10.618375,1123.982180
14,-469.033259,-25.466698,-76.992179,1,7.000000,-151.241616,-11.038567,-4.840546,733.101967
15,-463.331609,-26.704852,-77.879668,1,7.000000,-152.538037,22.941274,-6.257184,706.122457
16,-479.420627,-40.980676,-79.119379,1,7.000000,-70.816120,-87.891736,-2.388683,509.820443
17,-489.465180,-29.014318,-79.581243,1,7.000000,-145.181908,-132.860320,-22.958341,969.145919
18,-464.686071,-43.817442,-78.030011,1,7.000000,-57.208999,5.557701,-5.164686,111.845686
19,-477.116981,-76.039459,-79.002591,1,7.000000,164.863833,-37.536537,-11.013799,1122.766448
20,-493.012852,-41.314181,-76.128839,1,7.000000,-52.580603,-174.766344,-7.210414,948.438466
21,-447.643038,-26.068792,-78.342115,1,7.000000,-176.982335,108.964915,-7.492829,982.345078
22,-506.823210,-44.411220,-78.652227,1,7.000000,7.606834,-182.112732,-6.440747,1246.288430
23,-443.201953,-42.987617,-77.189469,1,7.000000,-74.464260,138.452943,-7.877211,895.774806
24,-468.869843,-67.124869,-80.039376,1,7.000000,80.278007,-24.345654,3.585129,843.372283
25,-482.870662,-41.323717,-75.632880,1,7.000000,-54.433869,-115.601059,-7.228786,635.026634
26,-476.127227,-59.427883,-76.269085,1,7.000000,41.747858,-73.770946,3.597868,671.651090
27,-490.325994,-48.250039,-78.839857,1,7.000000,-29.921348,-171.317272,-15.336442,870.077011
28,-458.180730,-53.061217,-77.746055,1,7.000000,3.049386,39.500028,-15.664129,483.691833
29,-491.246348,-35.907506,-78.424376,1,7.000000,-105.149556,-159.851892,-11.752392,927.380494
30,-477.626965,-25.678969,-77.440088,1,7.000000,-152.294228,-60.990297,13.163818,805.578200
31,-411.905852,-52.199764,-77.280244,1,7.000000,-61.403830,186.167223,-14.028024,1384.473684
32,-480.821149,-57.763839,-76.709350,1,7.000000,37.727163,-88.718855,1.495145,732.304455
33,-446.512200,-49.983813,-78.642251,1,7.000000,-13.990958,115.220497,10.411048,803.768019
34,-442.818751,-79.297082,-82.292130,1,7.000000,137.699515,35.293853,-19.919558,1267.911261
35,-475.731964,-40.849381,-77.178691,1,7.000000,-65.888612,-57.102509,-28.523647,376.246926
36,-456.141834,-61.831914,-79.027038,1,7.000000,53.146370,51.186208,-9.108766,768.359164
37,-471.325706,-73.536657,-77.193890,1,7.000000,124.629721,-17.091952,-25.705167,1029.937277
38,-474.774310,-22.033919,-76.723702,1,7.000000,-171.140360,-47.283464,-10.880831,875.310104
39,-503.858947,-62.306421,-77.281300,1,7.000000,-15.184607,-206.814955,-13.478140,1249.970909
40,-461.890164,-39.316779,-77.940933,1,7.000000,-84.428454,20.340875,-11.983348,310.351035
41,-471.904863,-57.305153,-76.773853,1,7.000000,37.784215,-48.402286,-10.378465,534.677985
42,-490.877356,-6.449510,-77.877457,1,7.000000,-225.010737,-256.715707,13.384309,1310.713651
43,-458.302109,-55.324151,-78.696429,1,7.000000,30.179875,49.452469,-8.465989,542.516536
44,-500.027525,-53.175105,-76.632484,1,7.000000,63.045836,-182.528735,-30.346814,1150.634436
45,-453.046921,-20.858638,-77.582123,1,7.000000,-201.976070,74.164997,-0.911692,997.827344
46,-489.411737,-27.747822,-77.975676,1,7.000000,-143.069511,-141.962336,-21.654067,987.950707
47,-461.099814,-76.610572,-78.420064,1,7.000000,115.962405,25.717697,-12.152327,1101.662357
48,-444.396887,-34.486379,-78.142380,1,7.000000,-129.173249,147.913398,-11.264595,924.751385
49,-468.016466,-51.555962,-78.136982,1,7.000000,-8.416781,-3.602913,-23.639890,283.933574
50,-442.609098,-39.623534,-74.823326,1,7.000000,-94.278444,132.078404,1.653463,935.051562
51,-437.607554,-69.655160,-78.741640,1,7.000000,18.909307,170.473192,-5.363774,1229.461844
52,-489.661060,-32.484393,-77.226496,1,7.000000,-124.506431,-146.498416,-6.339469,923.911004
53,-495.939138,-23.212632,-76.717472,1,7.000000,-250.029346,-132.922678,-4.160270,1150.603601
54,-460.409179,-56.247230,-73.091611,1,7.000000,35.185164,27.911591,-11.037865,567.212961
55,-492.128937,-41.216078,-77.089712,1,7.000000,-72.498011,-174.996245,-7.765902,918.188424
56,-465.099919,-71.017028,-78.011054,1,7.000000,131.508761,10.309360,4.418673,953.411389
57,-498.622063,-44.892446,-76.326436,1,7.000000,-80.368187,-188.552099,-13.802628,1075.343629
58,-474.162423,-17.378897,-77.945265,1,7.000000,-210.772007,-39.126690,-7.258753,992.633484
59,-435.497189,-75.338254,-77.645615,1,7.000000,30.554615,285.855361,-18.722912,1310.552956
60,-450.427477,-16.379919,-78.359998,1,7.000000,-248.802109,59.538066,-12.106763,1129.152570
61,-491.755746,-58.549711,-78.448618,1,7.000000,78.375019,-254.156743,-22.745012,1007.105524
62,-449.361491,-35.606967,-77.337754,1,7.000000,-112.732357,117.324966,-15.782422,769.269620
63,-438.881974,-51.108715,-79.216634,1,7.000000,-26.613376,159.603411,14.219177,1028.490478
64,-449.218835,-3.654524,-75.310323,1,7.000000,-188.039077,62.611634,0.181998,1309.763944
65,-472.356068,-76.847915,-77.251798,1,7.000000,188.713913,-105.922800,-7.523064,1095.874974
66,-495.797453,-52.853095,-76.667263,1,7.000000,22.755156,-153.065574,-11.666428,1051.408730
67,-452.926252,-68.029846,-79.191259,1,7.000000,97.258861,65.058670,-12.805938,971.922959
68,-489.406152,-23.834317,-76.597450,1,7.000000,-213.892723,-124.436558,-6.070568,1040.672284
69,-501.217343,-21.329476,-78.589557,1,7.000000,-59.189481,-287.282417,-2.748290,1272.923282
70,-477.347785,-31.265263,-76.967973,1,7.000000,-118.230239,-75.003847,-10.047982,650.540346
71,-461.967333,-24.732940,-77.402308,1,7.000000,-177.296765,35.453877,-3.187673,781.015883
72,-431.959592,-19.444001,-79.688344,1,7.000000,-127.606389,147.332052,-1.977253,1295.990703
73,-441.386241,-88.002417,-80.046074,1,7.000000,160.595629,14.697283,-12.275301,1347.001497
74,-440.881283,-30.489752,-75.615529,1,7.000000,-111.081367,186.549193,1.769098,1048.665417
75,-495.451158,-16.746847,-77.249984,1,7.000000,-238.608407,-85.815063,-12.163879,1218.893126
76,-442.392278,-23.119377,-77.390797,1,7.000000,-143.500275,141.491285,-5.174536,1117.114145
77,-452.020683,-52.402217,-81.531388,1,7.000000,-4.204973,93.152272,-25.376056,677.282273
78,-445.897736,-43.965132,-78.890625,1,7.000000,-64.374373,133.040297,8.650758,810.910271
79,-466.573616,-57.859091,-76.011016,1,7.000000,29.736684,-12.829744,-16.980930,525.398194
80,-473.244887,-54.117654,-77.339624,1,7.000000,-1.251718,-55.509539,-12.221213,446.123596
81,-462.953656,-44.016713,-78.327105,1,7.000000,-53.505926,16.379144,-10.101699,178.436596
82,-438.544931,-33.386379,-79.761690,1,7.000000,-74.103213,256.501339,-23.906385,1061.295572
83,-445.814700,-58.896103,-78.143230,1,7.000000,31.578538,110.411109,-10.717316,929.036117
84,-453.764427,-38.076240,-79.782720,1,7.000000,-93.554883,86.490284,-9.587705,599.404403
