# Janus 3D Export - 2025-12-26T22:25:50.442828
"# Particles: 17000 (M+: 10000, M-: 7000)"
index,x,y,z,sign,mass,vx,vy,vz
0,2.787482,-32.126717,-0.223483,1,7.000000,106.425244,0.347539,1.359468
1,186.298954,33.537564,3.278810,1,7.000000,-46.191919,226.160801,-0.194225
2,14.221594,105.942645,12.159776,1,7.000000,-202.169563,27.891627,0.130113
3,-80.751478,43.005104,4.177482,1,7.000000,-87.487825,-172.218762,1.335665
4,10.902705,54.867519,-4.804553,1,7.000000,-141.491107,39.698777,0.769964
5,-102.476094,179.148857,-1.685241,1,7.000000,-210.949275,-109.554767,-1.221590
6,53.844922,-49.008098,4.045312,1,7.000000,107.683568,123.398376,-0.421907
7,-50.016471,29.871389,3.520750,1,7.000000,-69.753194,-130.628658,-4.300464
8,-89.802711,-4.759069,1.293953,1,7.000000,2.700320,-191.576086,2.162844
9,-2.049464,-6.795674,8.002276,1,7.000000,24.787935,-10.609040,1.136432
10,-205.697066,-17.843505,7.530482,1,7.000000,17.758613,-236.041085,0.603522
11,-111.299656,55.752588,11.374491,1,7.000000,-89.803844,-191.258366,-0.852931
12,-75.314960,94.872752,-4.235624,1,7.000000,-156.864996,-135.300830,-2.892978
13,14.051722,109.053666,3.511195,1,7.000000,-192.812773,32.660906,-4.115378
14,-28.461376,-54.258942,0.953706,1,7.000000,136.535929,-61.301479,0.460055
15,-42.404238,-42.298906,-1.273376,1,7.000000,108.919311,-103.346744,3.096512
16,-9.644862,-39.185271,-5.076803,1,7.000000,115.586197,-29.378733,0.107645
17,35.212318,85.831539,9.980596,1,7.000000,-166.608490,67.583619,-0.130518
18,3.025908,3.975846,-0.689891,1,7.000000,-18.737307,9.071228,-4.334958
19,129.194525,-19.967985,2.140726,1,7.000000,25.599176,211.794565,4.276840
20,-41.023475,85.436960,-1.420617,1,7.000000,-173.301637,-87.208822,7.503717
21,99.739591,5.319466,1.206871,1,7.000000,-11.514681,200.791424,-6.959656
22,92.292059,-101.068510,9.235778,1,7.000000,157.583108,139.463964,-0.162906
23,-38.195074,-73.986027,-3.597277,1,7.000000,161.632162,-75.569594,2.710189
24,-32.396830,63.242433,8.903041,1,7.000000,-157.538628,-71.950905,0.227886
25,26.768916,-43.559279,5.015570,1,7.000000,114.987889,78.824487,-3.080098
26,48.529069,28.568562,6.380023,1,7.000000,-62.572862,128.250320,4.925408
27,-22.623495,85.400111,5.493181,1,7.000000,-184.827923,-35.339147,-1.774915
28,25.757058,19.791955,2.269013,1,7.000000,-60.564039,86.606638,-3.938553
29,14.916795,89.494879,4.116394,1,7.000000,-182.227874,36.744584,-2.451067
30,31.227512,-58.738973,8.912401,1,7.000000,142.682081,77.973344,0.808161
31,13.825936,211.963978,6.255308,1,7.000000,-233.010571,17.884069,1.205607
32,46.261282,34.886072,4.954049,1,7.000000,-92.598228,131.581358,-1.220717
33,-69.830737,10.157786,7.049159,1,7.000000,-18.760002,-163.390877,0.107425
34,-55.439782,132.007844,12.246572,1,7.000000,-195.812030,-68.794484,-1.496396
35,-19.733366,-18.025658,7.448349,1,7.000000,57.241373,-67.042567,-4.088699
36,-21.913901,58.191174,0.056202,1,7.000000,-142.453116,-57.877949,8.427332
37,-66.700947,-84.299996,5.561235,1,7.000000,154.665319,-125.960869,2.502861
38,59.623069,-47.154937,-1.763345,1,7.000000,112.058166,127.626766,-1.082467
39,141.860647,18.259974,0.091142,1,7.000000,-25.491475,213.907213,-0.363847
40,-4.574256,17.441289,1.832661,1,7.000000,-67.009589,-13.546128,-1.319090
